src_ip,window,num_packets,avg_payload_len,max_payload_len,query_ratio,unique_dst_ips,avg_interarrival,std_interarrival
10.0.2.16,0,2,34.0,34,1.0,1,0.07699500000000015,
10.0.2.16,7,2,31.5,32,1.0,1,0.2906889999999862,
10.0.2.16,39,2,34.0,34,1.0,1,0.07466700000031778,
10.0.2.16,70,2,34.0,34,1.0,1,0.07494099999985337,
10.0.2.16,101,2,34.0,34,1.0,1,0.07483700000011595,
8.8.8.8,0,2,139.0,139,0.0,1,0.07645400000000002,
8.8.8.8,7,2,87.5,128,0.0,1,0.2937259999999924,
8.8.8.8,39,2,56.0,62,0.0,1,0.0744259999996757,
8.8.8.8,70,2,56.0,62,0.0,1,0.07389500000044791,
8.8.8.8,101,2,56.0,62,0.0,1,0.07379200000013952,
